source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K05856.01,259.34304,349.7,6.04,3.204,13.1,165.6794,CONFIRMED,KEPLER,CONFIRMED,1
K05857.01,388.03884851,,,,,513.4051356,CANDIDATE,KEPLER,CANDIDATE,0
K05858.01,8.34410791,255.2,1.75,1.058,9.9,136.54528,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05974.01,4.76815507,61.0,0.59,0.649,9.2,131.85686,CANDIDATE,KEPLER,CANDIDATE,0
K05975.01,545.45623972,,,,,131.6984103,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05976.01,2.709570339,13171.0,179.36239999999793,5.208,900.9,134.084891,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05977.01,49.49059818,,,,,160.3970528,CANDIDATE,KEPLER,CANDIDATE,0
K05978.01,364.18129,469.5,1.78,0.85,7.0,245.1789,CANDIDATE,KEPLER,CANDIDATE,0
K05979.01,37.7935113,67.2,0.89,1.076,6.9,167.4179,CANDIDATE,KEPLER,CANDIDATE,0
K05980.01,0.855294909,6771.6,49.03,1.207,870.3,131.6579596,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05981.01,350.609298,369.5,3.88,1.992,5.0,163.1091,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05859.01,172.621943,788.0,26.09,8.838689999999987,5.0,170.014,CANDIDATE,KEPLER,CANDIDATE,0
K05860.01,264.708077,461.3,6.17,2.907,6.3,370.4525,CANDIDATE,KEPLER,CANDIDATE,0
K05861.01,452.40428,216.7,1.58,1.029,8.2,189.0844,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05862.01,0.699985822,360147.30000000127,46.27,0.724,626.9,131.840533,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05863.01,8.67237968,99.1,0.87,0.882,12.3,132.55073,CANDIDATE,KEPLER,CANDIDATE,0
